semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,ToN,48,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_SECOND_BYTES;DNS_QUERY_ID;IN_BYTES;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,49,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID;DST_TO_SRC_SECOND_BYTES;L4_SRC_PORT;IN_BYTES,TCP_WIN_MAX_IN
DoS,ToN,50,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_BYTES;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN
DoS,ToN,51,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;IN_PKTS;DNS_QUERY_ID;DST_TO_SRC_AVG_THROUGHPUT;MIN_IP_PKT_LEN;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,52,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;SRC_TO_DST_AVG_THROUGHPUT;IN_PKTS;DNS_TTL_ANSWER;MIN_TTL;IN_BYTES;MIN_IP_PKT_LEN;L4_SRC_PORT,TCP_WIN_MAX_IN
DoS,ToN,53,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;MIN_TTL;MIN_IP_PKT_LEN;DNS_TTL_ANSWER;DNS_QUERY_ID;DST_TO_SRC_SECOND_BYTES,TCP_WIN_MAX_IN
DoS,ToN,54,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;MIN_TTL;DNS_QUERY_ID;DNS_TTL_ANSWER;SRC_TO_DST_AVG_THROUGHPUT;IN_BYTES;L4_SRC_PORT;MIN_IP_PKT_LEN,TCP_WIN_MAX_IN
DoS,ToN,55,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;IN_PKTS;MIN_TTL;DNS_TTL_ANSWER;DNS_QUERY_ID;IN_BYTES;SRC_TO_DST_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES,TCP_WIN_MAX_IN
DoS,ToN,56,3000,TCP_WIN_MAX_IN;LONGEST_FLOW_PKT;DNS_QUERY_TYPE;MIN_TTL;SRC_TO_DST_AVG_THROUGHPUT;DST_TO_SRC_AVG_THROUGHPUT;DNS_TTL_ANSWER;DNS_QUERY_ID;L4_SRC_PORT;IN_PKTS,TCP_WIN_MAX_IN
DoS,ToN,57,3000,TCP_WIN_MAX_IN;DNS_QUERY_TYPE;LONGEST_FLOW_PKT;DNS_TTL_ANSWER;MIN_TTL;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT;DNS_QUERY_ID;SRC_TO_DST_AVG_THROUGHPUT;L4_SRC_PORT,TCP_WIN_MAX_IN
