semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,CIC,ToN,SHAP-10,False,59,0.999167,1.0
DoS,CIC,BoT,SHAP-10,False,59,0.998918,0.999999
DoS,CIC,Random,Random-10,True,59,0.998419,0.999999
DoS,CIC,—,Full-40,True,60,1.0,1.0
DoS,CIC,CIC,Target-10,True,60,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,60,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,60,0.9995,0.999999
DoS,CIC,BoT,SHAP-10,False,60,0.999334,0.999999
DoS,CIC,Random,Random-10,True,60,0.998751,0.999999
DoS,CIC,—,Full-40,True,61,0.999917,1.0
DoS,CIC,CIC,Target-10,True,61,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,61,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,61,0.9995,0.999999
DoS,CIC,BoT,SHAP-10,False,61,0.99925,1.0
DoS,CIC,Random,Random-10,True,61,1.0,1.0
DoS,CIC,—,Full-40,True,62,1.0,1.0
DoS,CIC,CIC,Target-10,True,62,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,62,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,62,0.999167,0.999997
DoS,CIC,BoT,SHAP-10,False,62,0.999167,0.999981
DoS,CIC,Random,Random-10,True,62,0.996925,0.999997
DoS,CIC,—,Full-40,True,63,1.0,1.0
DoS,CIC,CIC,Target-10,True,63,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,63,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,63,0.999417,0.999999
DoS,CIC,BoT,SHAP-10,False,63,0.999417,0.999999
DoS,CIC,Random,Random-10,True,63,0.999833,1.0
DoS,CIC,—,Full-40,True,64,1.0,1.0
DoS,CIC,CIC,Target-10,True,64,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,64,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,64,0.999334,0.999999
DoS,CIC,BoT,SHAP-10,False,64,0.999084,0.999999
DoS,CIC,Random,Random-10,True,64,0.999417,1.0
DoS,CIC,—,Full-40,True,65,0.999917,1.0
DoS,CIC,CIC,Target-10,True,65,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,65,0.999917,1.0
DoS,CIC,ToN,SHAP-10,False,65,0.999251,0.999999
DoS,CIC,BoT,SHAP-10,False,65,0.998752,0.999999
DoS,CIC,Random,Random-10,True,65,0.999667,1.0
DoS,CIC,—,Full-40,True,66,1.0,1.0
DoS,CIC,CIC,Target-10,True,66,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,66,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,66,0.999417,1.0
DoS,CIC,BoT,SHAP-10,False,66,0.9995,1.0
DoS,CIC,Random,Random-10,True,66,0.999667,1.0
DoS,CIC,—,Full-40,True,67,0.999917,1.0
DoS,CIC,CIC,Target-10,True,67,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,67,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,67,0.999417,0.999998
DoS,CIC,BoT,SHAP-10,False,67,0.999084,0.999999
DoS,CIC,Random,Random-10,True,67,0.996761,0.999995
DoS,CIC,—,Full-40,True,68,1.0,1.0
DoS,CIC,CIC,Target-10,True,68,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,68,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,68,0.998918,0.999995
DoS,CIC,BoT,SHAP-10,False,68,0.998918,0.999999
DoS,CIC,Random,Random-10,True,68,0.998668,0.999999
DoS,CIC,—,Full-40,True,69,0.999833,1.0
DoS,CIC,CIC,Target-10,True,69,0.999833,1.0
DoS,CIC,UNSW,SHAP-10,True,69,0.999833,1.0
DoS,CIC,ToN,SHAP-10,False,69,0.99925,0.999982
DoS,CIC,BoT,SHAP-10,False,69,0.999167,0.999999
DoS,CIC,Random,Random-10,True,69,1.0,1.0
DoS,CIC,—,Full-40,True,70,1.0,1.0
DoS,CIC,CIC,Target-10,True,70,1.0,1.0
DoS,CIC,UNSW,SHAP-10,True,70,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,70,0.999001,0.999996
DoS,CIC,BoT,SHAP-10,False,70,0.999001,0.999999
DoS,CIC,Random,Random-10,True,70,0.999833,1.0
DoS,CIC,—,Full-40,True,71,0.999917,1.0
DoS,CIC,CIC,Target-10,True,71,0.999917,1.0
DoS,CIC,UNSW,SHAP-10,True,71,1.0,1.0
DoS,CIC,ToN,SHAP-10,False,71,0.999417,0.999999
DoS,CIC,BoT,SHAP-10,False,71,0.998917,0.999999
DoS,CIC,Random,Random-10,True,71,1.0,1.0
DoS,ToN,—,Full-40,True,42,0.898188,0.997749
DoS,ToN,ToN,Target-10,True,42,0.898711,0.997798
DoS,ToN,UNSW,SHAP-10,False,42,0.895307,0.997751
DoS,ToN,CIC,SHAP-10,False,42,0.893512,0.997779
DoS,ToN,BoT,SHAP-10,True,42,0.843677,0.997222
DoS,ToN,Random,Random-10,True,42,0.890502,0.997155
DoS,ToN,—,Full-40,True,43,0.902315,0.997929
DoS,ToN,ToN,Target-10,True,43,0.90186,0.997892
DoS,ToN,UNSW,SHAP-10,False,43,0.899713,0.997842
DoS,ToN,CIC,SHAP-10,False,43,0.897762,0.997856
DoS,ToN,BoT,SHAP-10,True,43,0.841845,0.997254
DoS,ToN,Random,Random-10,True,43,0.899729,0.997788
